id,tenderid,项目编号,项目名称,开标网址,参数抽取网址,参数抽取类型,project_type,投标单位数量,开标时间
B611694D-4ABA-40B6-AE95-9CEB3F95A10C,21D1D5B4-BCE0-4C77-9B66-43827156684B,A3301080120508367001111,红外热成像整机产品产业化基地建设项目,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=B611694D-4ABA-40B6-AE95-9CEB3F95A10C&tenderID=21D1D5B4-BCE0-4C77-9B66-43827156684B&ModuleID=486,,0,施工项目,16,2023/10/30 11:00
BD8B51C0-6D79-4654-BC15-45473AE5D603,2FC93BA5-8105-4A43-A59D-D870270076D2,A3301020070508718001211,笕桥街道卫生服务新中心提升改造（二期）工程,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=BD8B51C0-6D79-4654-BC15-45473AE5D603&tenderID=2FC93BA5-8105-4A43-A59D-D870270076D2&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=BD8B51C0-6D79-4654-BC15-45473AE5D603,1,施工项目,1859,2023/10/30 9:30
AE916117-AFC0-4014-8039-D58F036B399A,7c9cefdb-21ed-407b-96a8-ce193e364abb,A3301100140280059001231,天目山路良睦路至禹航路段交叉口改建工程SG01标段,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=AE916117-AFC0-4014-8039-D58F036B399A&tenderID=7c9cefdb-21ed-407b-96a8-ce193e364abb&ModuleID=486,,0,交通项目,86,2023/10/30 9:30
838D03DC-F1C7-4263-B2C6-9F82AB4F36FF,1A6BEF32-87C1-4BC4-8B1D-9ED8B8F0D302,A3301050100508678001211,浙工新村城市危旧房有机更新(试点)项目监理,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=838D03DC-F1C7-4263-B2C6-9F82AB4F36FF&tenderID=1A6BEF32-87C1-4BC4-8B1D-9ED8B8F0D302&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=838D03DC-F1C7-4263-B2C6-9F82AB4F36FF,1,监理项目,92,2023/10/30 9:30
816CA116-A049-4185-9177-9EFE21754F75,0CCB5447-B612-4B9D-B0D3-F1DEF8EDB473,A3301131280400018001281,杭浦绿道工程监理,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=816CA116-A049-4185-9177-9EFE21754F75&tenderID=0CCB5447-B612-4B9D-B0D3-F1DEF8EDB473&ModuleID=486,,0,园林绿化项目,13,2023/10/30 9:30
53FE51BE-6316-4CDE-ACBF-8F52E9A5C3D1,CA05DD2B-556E-4F62-B27E-21D65B775210,A3301300180508657001211,高沙老小区改造工程二期北区块,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=53FE51BE-6316-4CDE-ACBF-8F52E9A5C3D1&tenderID=CA05DD2B-556E-4F62-B27E-21D65B775210&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=53FE51BE-6316-4CDE-ACBF-8F52E9A5C3D1,1,施工项目,47,2023/10/30 9:30
3156A5F3-25DC-41EA-B95A-C7B4634A381B,5ECD27E4-F60C-4A3A-9D28-CEA6EB029E9E,A3301090130508682001211,新街街道江南村综合楼项目EPC工程总承包项目,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=3156A5F3-25DC-41EA-B95A-C7B4634A381B&tenderID=5ECD27E4-F60C-4A3A-9D28-CEA6EB029E9E&ModuleID=486,,0,建设工程,5,2023/10/30 9:30
250EFF86-6FAB-4216-ADB4-6689E1DB098D,fb82a8d6-cc77-48af-9f92-f590cf6f65c3,A3301131280280035001231,临平区运河街道丰林路（三幼至兴旺大道）工程 可行性研究报告编制及勘察设计,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=250EFF86-6FAB-4216-ADB4-6689E1DB098D&tenderID=fb82a8d6-cc77-48af-9f92-f590cf6f65c3&ModuleID=486,,0,交通项目,4,2023/10/30 9:30
24ABB4F9-5F89-40DE-A596-B428DEED04BE,2445F6B8-EE02-4FED-B8DD-39A5E23978F9,A3301220150508741001221,分水镇怀恩未来社区建设项目-基础设施配套工程,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=24ABB4F9-5F89-40DE-A596-B428DEED04BE&tenderID=2445F6B8-EE02-4FED-B8DD-39A5E23978F9&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=24ABB4F9-5F89-40DE-A596-B428DEED04BE,1,施工项目,348,2023/10/30 9:30
6BB36AE1-3889-453C-B7A2-3BAA7DA8D1F7,250BC82E-E8FA-4B26-924F-142209F8D4D1,A3301080120508749001211,长江单元小学及幼儿园项目监理,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=6BB36AE1-3889-453C-B7A2-3BAA7DA8D1F7&tenderID=250BC82E-E8FA-4B26-924F-142209F8D4D1&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=6BB36AE1-3889-453C-B7A2-3BAA7DA8D1F7,1,监理项目,73,2023/10/30 9:15
