项目名称,网址,项目类型,项目所在地,zbkzj,下浮率,kbjj,投标单位数量,开标时间
龙泉市第一中学综合教学楼工程,http://lssggzy.lishui.gov.cn/art/2023/8/25/art_1229661923_225438.html,房屋建筑工程,龙泉,0,0,0,59,2023/8/25
丽水南城生态停车场改造提升项目-水阁东生态停车场及配套工程勘察,http://lssggzy.lishui.gov.cn/art/2023/8/25/art_1229661812_226361.html,房屋建筑,丽水,0,0,0,8,2023/8/25
龙泉市环城东路北段延伸线市政工程,http://lssggzy.lishui.gov.cn/art/2023/8/25/art_1229661923_224994.html,市政基础设施工程,龙泉,0,0,0,27,2023/8/25
遂昌县南街区块开发利用拆建一体工程一期（市政配套）项目,http://lssggzy.lishui.gov.cn/art/2023/8/25/art_1229662124_226388.html,市政基础设施工程,遂昌,0,0,0,17,2023/8/25
丽水市莲都区东苑小区老旧小区改造工程,http://lssggzy.lishui.gov.cn/art/2023/8/25/art_1229661852_226456.html,1基础设施,莲都,4619753,8,4250172.76,133,2023/8/25
缙云县下小溪小学扩建工程,http://lssggzy.lishui.gov.cn/art/2023/8/25/art_1229662089_226350.html,房屋建筑工程,缙云,38143742.85,9.1,34672662.25,133,2023/8/25
云和县公共卫生服务能力提升项目—120急救指挥中心新建及医技楼改扩建工程,http://lssggzy.lishui.gov.cn/art/2023/8/28/art_1229661989_226742.html,房屋建筑工程,云和,7571622.539,9.4,6859890.02,125,2023/8/28
浙西南农产品高质量发展项目--松阳县共富农事服务中心项目（粮食烘干二期）,http://lssggzy.lishui.gov.cn/art/2023/8/29/art_1229662157_227000.html,农业工程,松阳,7033706.002,4.7,6703121.82,113,2023/8/29
青田县瓯南街道南湾至黄山公路新建工程,http://lssggzy.lishui.gov.cn/art/2023/8/29/art_1229661956_236612.html,交通工程,青田,10867113.22,2.5,10595435.39,84,2023/8/29
青田县温溪镇温溪新区市政道路配套新建工程—温中西路沙埠村段及富强路南段,http://lssggzy.lishui.gov.cn/art/2023/8/29/art_1229661956_227019.html,市政基础设施工程,青田,0,0,0,13,2023/8/29
丽水南城石材市场支路提升改造工程,http://lssggzy.lishui.gov.cn/art/2023/8/29/art_1229661812_227070.html,1基础设施,丽水,17891378,14.5,15297128.19,119,2023/8/29
