id,项目名称,网址,控制价,下浮率,基准价
A3311011160013124,遂昌县 2023 年农村公路边坡处治及桥梁维修加固工程,http://lssggzy.lishui.gov.cn/art/2023/6/25/art_1229662124_215842.html,19396110.3,1,19202149.2
A3311011160013159,龙泉市龙渊片区2023年度老旧小区改造工程（一期）监理,http://lssggzy.lishui.gov.cn/art/2023/6/25/art_1229661923_215784.html,1285300,10,1156770
A3311011160013121,龙泉市剑池片区2023年度老旧小区改造工程,http://lssggzy.lishui.gov.cn/art/2023/6/21/art_1229661923_215503.html,0,0,0
A3311011160013136,山炮绿矿区修复及峡谷风情一体化开发项目-汤垟“侨山秀水”古道探寻项目,http://lssggzy.lishui.gov.cn/art/2023/6/21/art_1229661956_215727.html,0,0,0
A3311011160013148,遂昌县东城新区产教融合项目-职教园区迁建工程施工监理,http://lssggzy.lishui.gov.cn/art/2023/6/21/art_1229662124_215741.html,4133200,0,4133200
A3311011160013139,龙泉市龙渊片区2023年度老旧小区改造工程（一期）—莱茵花园区块改造工程,http://lssggzy.lishui.gov.cn/art/2023/6/21/art_1229661923_215534.html,0,0,0
A3311011160013149,龙泉市龙渊片区2023年度老旧小区改造工程（一期）—创美苑区块改造工程,http://lssggzy.lishui.gov.cn/art/2023/6/21/art_1229661923_215722.html,0,0,0
A3311011160013106,鼎湖路改造工程,http://lssggzy.lishui.gov.cn/art/2023/6/21/art_1229662089_215698.html,27144130.4,11.6,23995411.27
A3311011160013087,缙云县公共卫生及应急医疗救治设施提升工程——县人民医院新碧分院区项目设计,http://lssggzy.lishui.gov.cn/art/2023/6/21/art_1229662089_215599.html,0,0,0
A3311011160013137,松阳田园文化创意园4#、5#楼装修工程,http://lssggzy.lishui.gov.cn/art/2023/6/21/art_1229662157_215582.html,24319273.64,10.1,21863027
A3311011160013135,丽水创新金融中心一期项目初步设计及施工图设计,http://lssggzy.lishui.gov.cn/art/2023/6/21/art_1229661812_215579.html,0,0,0
A3311011160013126,龙泉市上下水南未来社区—上下水南地块建设全过程代建代销项目,http://lssggzy.lishui.gov.cn/art/2023/6/21/art_1229661923_215627.html,0,0,0
A3311011160013134,浙江省庆元抽水蓄能电站监理服务,http://lssggzy.lishui.gov.cn/art/2023/6/21/art_1229662056_215756.html,0,0,0
A3311011160012521,K地块、余庄前二期等安置小区亮化工程,http://lssggzy.lishui.gov.cn/art/2023/6/20/art_1229661812_215554.html,6449083.996,10.9,5746133.84
A3311011160013127,2023年G528龙广线丽水市遂昌县大树下等4座隧道维修加固工程,http://lssggzy.lishui.gov.cn/art/2023/6/20/art_1229662124_215473.html,6610799.74,0,6610799.74
A3311011160013101,景宁县滩坑水库库尾消落带水生态修复与综合治理工程前期,http://lssggzy.lishui.gov.cn/art/2023/6/20/art_1229662190_215571.html,0,0,0
A3311011160013073,遂昌县大柘镇云上茶歇、桃谷浮云驿站、岭上人家民宿等提升项目,http://lssggzy.lishui.gov.cn/art/2023/6/20/art_1229662124_215493.html,7870392.403,7.6,7272242.58
A3311011160012986,莲都区“大搬快聚”富民安居工程秋塘安置小区项目水文设备采购安装项目,http://lssggzy.lishui.gov.cn/art/2023/6/20/art_1229661852_215489.html,0,0,0
A3311011160013115,莲都工投分布式屋顶光伏项目,http://lssggzy.lishui.gov.cn/art/2023/6/20/art_1229661852_215483.html,0,0,0
A3311011160013097,义龙庆高速濂竹互通连接线工程全过程工程咨询服务,http://lssggzy.lishui.gov.cn/art/2023/6/19/art_1229661812_215333.html,21055952,0,21055952
A3311011160013085,青田县农村联网公路温溪镇龙叶至坭山村段新建工程,http://lssggzy.lishui.gov.cn/art/2023/6/16/art_1229661956_215135.html,11831656.58,1,11713340.01
A3311011160013104,浙江省庆元抽水蓄能电站招标设计和施工图设计阶段勘察设计及相关服务,http://lssggzy.lishui.gov.cn/art/2023/6/16/art_1229662056_215143.html,0,0,0
A3311011160013086,滴双线“红绿金”融合共富农村路创建工程,http://lssggzy.lishui.gov.cn/art/2023/6/15/art_1229661812_215059.html,6410556,2,6282344.88
A3311011160013083,庆元县屏都综合新区香菇小镇工业区块基础设施配套建设项目（道路和场平工程）监理,http://lssggzy.lishui.gov.cn/art/2023/6/15/art_1229662056_215074.html,0,0,0
A3311011160013084,五云街道2022-7号地块-仙都中学北侧工程开发全过程代建代销项目,http://lssggzy.lishui.gov.cn/art/2023/6/15/art_1229662089_215051.html,0,0,0
A3311011160012841,碧湖平原区块道路网建设工程,http://lssggzy.lishui.gov.cn/art/2023/6/14/art_1229661852_214939.html,0,0,0
A3311011160013011,莲都区桃碧线改造提升工程（下圳至保定段）一期施工监理,http://lssggzy.lishui.gov.cn/art/2023/6/14/art_1229661852_214874.html,0,0,0
A3311011160012991,白岩创智谷基础设施项目路网工程设计,http://lssggzy.lishui.gov.cn/art/2023/6/14/art_1229661812_215013.html,0,0,0
A3311011160013077,云和县大坪安置区道路工程（一标段）,http://lssggzy.lishui.gov.cn/art/2023/6/14/art_1229661989_215024.html,3204192.144,6.7,2989511.27
A3311011160013105,丽水市莲都区大洋路 172 号及周边老旧小区改造工程,http://lssggzy.lishui.gov.cn/art/2023/6/14/art_1229661852_215005.html,8432479.579,9.7,7614529.06
A3311011160013109,丽水市莲都区金山新村及周边老旧小区改造工程,http://lssggzy.lishui.gov.cn/art/2023/6/14/art_1229661852_214927.html,11005241,8,10124821.72
A3311011160013057,松阳县大东坝镇团结水库工程全过程工程咨询服务项目,http://lssggzy.lishui.gov.cn/art/2023/6/14/art_1229662157_215012.html,0,0,0
A3311011160012789,丽水经济技术开发区东扩北部区块管网综合改造工程监理,http://lssggzy.lishui.gov.cn/art/2023/6/14/art_1229661812_210884.html,937700,0,937700
A3311011160013110,丽水市莲都区鸿达花苑老旧小区改造工程,http://lssggzy.lishui.gov.cn/art/2023/6/14/art_1229661852_214922.html,5915821.996,7.8,5454387.88
A3311011160013071,青田县新八源水库工程全过程工程咨询服务,http://lssggzy.lishui.gov.cn/art/2023/6/14/art_1229661956_215026.html,0,0,0
A3311011160012150,云和县中等职业技术学校产教融合中心二期工程,http://lssggzy.lishui.gov.cn/art/2023/6/14/art_1229661989_214869.html,84468407.73,1.8,82947976.39
A3311011160012989,龙泉市棋盘山区块基础设施综合提升项目—道路改造工程（林岭线）,http://lssggzy.lishui.gov.cn/art/2023/6/13/art_1229661923_214161.html,0,0,0
A3311011160013079,庆元县人民医院迁建工程—空气消毒机设备采购与安装,http://lssggzy.lishui.gov.cn/art/2023/6/13/art_1229662056_214863.html,0,0,0
A3311011160012947,龙泉市启明路市政工程,http://lssggzy.lishui.gov.cn/art/2023/6/13/art_1229661923_214771.html,8406302.002,11.6,7431170.97
A3311011160012974,景宁县红星街道团结小区公寓安置二期电梯采购安装项目,http://lssggzy.lishui.gov.cn/art/2023/6/13/art_1229662190_214059.html,0,0,0
A3311011160012997,遂昌县东城新区分布式能源光伏项目二期工程II标段,http://lssggzy.lishui.gov.cn/art/2023/6/13/art_1229662124_214839.html,7427624.09,0,7427624.09
A3311011160013070,松阳县妇幼保健服务中心项目,http://lssggzy.lishui.gov.cn/art/2023/6/13/art_1229662157_214701.html,139162995.7,7.9,128169119
A3311011160013055,龙泉市龙建区块整治工程,http://lssggzy.lishui.gov.cn/art/2023/6/12/art_1229661923_213879.html,0,0,0
A3311011160013011,莲都区桃碧线改造提升工程（下圳至保定段）一期,http://lssggzy.lishui.gov.cn/art/2023/6/12/art_1229661852_214075.html,0,0,0
A3311011160013093,梯田景区游客中心工程拆迁安置区连接道路改建工程,http://lssggzy.lishui.gov.cn/art/2023/6/12/art_1229661989_214669.html,6665554.196,11.1,5925677.68
A3311011160013016,637国道莲都魏村至堰头段改建工程招标代理及工程量清单预算咨询服务,http://lssggzy.lishui.gov.cn/art/2023/6/12/art_1229661812_214558.html,0,0,0
A3311011160013059,龙泉市棋盘山区块基础设施综合提升项目-林道建设工程,http://lssggzy.lishui.gov.cn/art/2023/6/12/art_1229661923_213935.html,0,0,0
A3311011160012936,景宁县2023年普通国道路基路面养护工程,http://lssggzy.lishui.gov.cn/art/2023/6/12/art_1229662190_214644.html,14027175.15,0,14027175.15
A3311011160013052,景宁县公安局鹤溪派出所技术业务用房建设项目-智能化工程,http://lssggzy.lishui.gov.cn/art/2023/6/9/art_1229662190_214538.html,0,0,0
A3311011160013017,龙泉市2023年普通国道路基路面养护工程,http://lssggzy.lishui.gov.cn/art/2023/6/9/art_1229661923_214221.html,8385753.402,3,8134180.8
A3311011160012892,龙泉市交通物流快递服务中心项目施工图设计,http://lssggzy.lishui.gov.cn/art/2023/6/9/art_1229661923_214334.html,0,0,0
A3311011160013047,2023年缙云县低等级公路提升改造工程（木栗-木瓜坑-西峰）,http://lssggzy.lishui.gov.cn/art/2023/6/9/art_1229662089_214548.html,7186073.283,1,7114212.55
A3311011160013003,龙泉市第一中学宿舍提升改造工程—C幢装修及安装工程,http://lssggzy.lishui.gov.cn/art/2023/6/9/art_1229661923_213575.html,4500551.001,7.1,4181011.88
A3311011160013056,碧湖新城白桥区块污水过江管道项目设计,http://lssggzy.lishui.gov.cn/art/2023/6/9/art_1229661852_214264.html,0,0,0
A3311011160013058,云和县城南污水管网优化工程设计,http://lssggzy.lishui.gov.cn/art/2023/6/9/art_1229661989_214546.html,0,0,0
A3311011160013046,丽水市大溪南路（南明山路口）工程,http://lssggzy.lishui.gov.cn/art/2023/6/8/art_1229661812_214142.html,5371567.005,6.5,5022415.15
A3311011160012846,青田县“十四五”农村饮用水提升工程-青田县2022年度腊口镇腊口村等36个村农村供水保障工程（海口镇东江村）,http://lssggzy.lishui.gov.cn/art/2023/6/8/art_1229661956_203581.html,7409302.33,0,7409302.33
A3311011160012949,龙泉市2023年“四好农村路”提升工程一养护大中修和龙泉市2023年“四好农村路”提升工程一提升改善施工监理,http://lssggzy.lishui.gov.cn/art/2023/6/8/art_1229661923_214065.html,1246004.71,0,1246004.71
A3311011160013040,缙云县碧川小学综合楼及运动场看台工程,http://lssggzy.lishui.gov.cn/art/2023/6/8/art_1229662089_214141.html,25894941.55,5.4,24496614.71
A3311011160013053,莲都区港口砂石料基地项目-设备安装、非标件制作安装、胶带机采购与安装,http://lssggzy.lishui.gov.cn/art/2023/6/8/art_1229661852_214071.html,0,0,0
