id,项目名称,网址,项目类型,项目所在地,招标方式,zbkzj,下浮率,kbjj,投标单位数量,开标时间
A3311011160013483,遂昌县东城共富核心区市政基础设施配套项目（一期）,http://lssggzy.lishui.gov.cn/art/2023/8/30/art_1229662124_227287.html,市政基础设施工程,遂昌,公开招标,0.0,0.0,0.0,37,2023/8/30
A3311011160013386,遂昌县东城医院项目监理,http://lssggzy.lishui.gov.cn/art/2023/8/30/art_1229662124_227279.html,房屋建筑工程,遂昌,公开招标,3258566.0,0.0,3258566.0,3,2023/8/30
A3311011160013399,青田县瓯南街道南湾至黄山公路新建工程,http://lssggzy.lishui.gov.cn/art/2023/8/30/art_1229661956_227241.html,交通工程,青田,公开招标,10867113.220512822,2.5,10595435.39,83,2023/8/30
A3311011160013465,丽水市人民医院东城院区医疗科教综合楼（三期香樟公园工程）,http://lssggzy.lishui.gov.cn/art/2023/8/30/art_1229661812_227240.html,1基础设施,丽水,公开招标,6644648.995726496,6.4,6219391.46,183,2023/8/30
A3311011160013403,浙西南农产品高质量发展项目--松阳县共富农事服务中心项目（粮食烘干二期）,http://lssggzy.lishui.gov.cn/art/2023/8/29/art_1229662157_227000.html,农业工程,松阳,公开招标,7033706.002098637,4.7,6703121.82,112,2023/8/29
A3311011160013466,青田县温溪镇温溪新区市政道路配套新建工程—温中西路沙埠村段及富强路南段,http://lssggzy.lishui.gov.cn/art/2023/8/29/art_1229661956_227019.html,市政基础设施工程,青田,公开招标,0.0,0.0,0.0,12,2023/8/29
A3311011160013420,丽水南城石材市场支路提升改造工程,http://lssggzy.lishui.gov.cn/art/2023/8/29/art_1229661812_227070.html,1基础设施,丽水,公开招标,17891378.0,14.5,15297128.19,118,2023/8/29
A3311011160013418,青田县瓯南医疗综合服务中心新建工程监理,http://lssggzy.lishui.gov.cn/art/2023/8/29/art_1229661956_227009.html,房屋建筑工程,青田,公开招标,1175877.0,0.0,1175877.0,6,2023/8/29
A3311011160013415,缙云县体育设施补短板工程及市民广场地下停车场工程（EPC）总承包监理,http://lssggzy.lishui.gov.cn/art/2023/8/29/art_1229662089_227092.html,房屋建筑工程,缙云,公开招标,3608038.0,0.0,3608038.0,7,2023/8/29
A3311011160013447,云和县公共卫生服务能力提升项目—120急救指挥中心新建及医技楼改扩建工程,http://lssggzy.lishui.gov.cn/art/2023/8/28/art_1229661989_226742.html,房屋建筑工程,云和,公开招标,7571622.538631346,9.4,6859890.02,124,2023/8/28
A3311011160013456,青田县官坑源小流域综合治理提质增效项目,http://lssggzy.lishui.gov.cn/art/2023/8/28/art_1229661956_226839.html,水利工程,青田,公开招标,26003699.6,0.0,26003699.6,178,2023/8/28
A3311011160013348,龙泉市第一中学综合教学楼工程,http://lssggzy.lishui.gov.cn/art/2023/8/25/art_1229661923_225438.html,房屋建筑工程,龙泉,公开招标,0.0,0.0,0.0,57,2023/8/25
A3311011160013422,丽水市莲都区东苑小区老旧小区改造工程,http://lssggzy.lishui.gov.cn/art/2023/8/25/art_1229661852_226456.html,1基础设施,莲都,公开招标,4619753.0,8.0,4250172.76,132,2023/8/25
A3311011160013341,龙泉市环城东路北段延伸线市政工程,http://lssggzy.lishui.gov.cn/art/2023/8/25/art_1229661923_224994.html,市政基础设施工程,龙泉,公开招标,0.0,0.0,0.0,25,2023/8/25
A3311011160013435,丽水南城生态停车场改造提升项目-水阁东生态停车场及配套工程勘察,http://lssggzy.lishui.gov.cn/art/2023/8/25/art_1229661812_226361.html,房屋建筑,丽水,公开招标,0.0,0.0,0.0,6,2023/8/25
A3311011160013398,遂昌县南街区块开发利用拆建一体工程一期（市政配套）项目,http://lssggzy.lishui.gov.cn/art/2023/8/25/art_1229662124_226388.html,市政基础设施工程,遂昌,公开招标,0.0,0.0,0.0,16,2023/8/25
A3311011160013433,青田县三溪口街道上岸村大搬快聚市政配套项目（一期）,http://lssggzy.lishui.gov.cn/art/2023/8/25/art_1229661956_226587.html,市政基础设施工程,青田,公开招标,5943375.66098081,6.2,5574886.37,202,2023/8/25
A3311011160013434,缙云县下小溪小学扩建工程,http://lssggzy.lishui.gov.cn/art/2023/8/25/art_1229662089_226350.html,房屋建筑工程,缙云,公开招标,38143742.849284925,9.1,34672662.25,132,2023/8/25
A3311011160013427,丽水市莲都区桃源山庄老旧小区改造工程,http://lssggzy.lishui.gov.cn/art/2023/8/25/art_1229661852_226583.html,1基础设施,莲都,公开招标,5724232.0,11.0,5094566.48,162,2023/8/25
A3311011160013448,白口双创园周边路网配套工程,http://lssggzy.lishui.gov.cn/art/2023/8/24/art_1229661852_226220.html,1基础设施,莲都,公开招标,0.0,0.0,0.0,26,2023/8/24
A3311011160013450,青田县温溪镇综合文化服务中心新建工程监理,http://lssggzy.lishui.gov.cn/art/2023/8/24/art_1229661956_226206.html,房屋建筑工程,青田,公开招标,1159817.0,0.0,1159817.0,6,2023/8/24
A3311011160013416,遂昌县杂交水稻制种全链条服务项目（新路湾）,http://lssggzy.lishui.gov.cn/art/2023/8/24/art_1229662124_226100.html,房屋建筑工程,遂昌,公开招标,0.0,0.0,0.0,15,2023/8/24
A3311011160013437,青田县油竹街道官和小区生活污水零直排项目,http://lssggzy.lishui.gov.cn/art/2023/8/24/art_1229661956_225952.html,市政基础设施工程,青田,公开招标,0.0,0.0,0.0,72,2023/8/24
A3311011160013444,丽水市东地路与寿元街交叉口西北侧地块商住用房项目智能化工程,http://lssggzy.lishui.gov.cn/art/2023/8/24/art_1229661812_226003.html,房屋建筑,丽水,公开招标,0.0,0.0,0.0,17,2023/8/24
LD[2023]139号,丽阳街与寿尔福路交叉口西南侧商住用房前期物业管理项目,http://lssggzy.lishui.gov.cn/art/2023/8/24/art_1229661852_226207.html,9,莲都区,公开招标,0.0,0.0,0.0,4,2023/8/24
A3311011160013423,松阳县南城实验小学工程,http://lssggzy.lishui.gov.cn/art/2023/8/24/art_1229662157_226222.html,房屋建筑工程,松阳,公开招标,0.0,0.0,0.0,8,2023/8/24
A3311011160013301,龙泉市上下水南未来社区—上下水南地块建设项目设计采购施工（EPC）总承包,http://lssggzy.lishui.gov.cn/art/2023/8/23/art_1229661923_225993.html,房屋建筑工程,龙泉,公开招标,0.0,0.0,0.0,42,2023/8/23
A3311011160013412,凤山路（含凤山大桥）道路工程设计,http://lssggzy.lishui.gov.cn/art/2023/8/23/art_1229661812_225963.html,1基础设施,丽水,公开招标,0.0,0.0,0.0,4,2023/8/23
A3311011160013419,松阳县第二水厂工程设计（初设）,http://lssggzy.lishui.gov.cn/art/2023/8/23/art_1229662157_225978.html,市政基础设施工程,松阳,公开招标,0.0,0.0,0.0,3,2023/8/23
0,0,http://lssggzy.lishui.gov.cn/art/2023/8/23/art_1229662124_225997.html,房屋建筑,遂昌,公开招标,0.0,0.0,0.0,13,2023/8/23
A3311011160013440,景宁县“大搬快聚富民安居”张春小区保障性住房C-09地块全过程代建开发项目监理,http://lssggzy.lishui.gov.cn/art/2023/8/23/art_1229662190_225792.html,房屋建筑工程,景宁,公开招标,2644200.0,0.0,2644200.0,3,2023/8/23
A3311011160013421,松阳县南城实验小学工程监理,http://lssggzy.lishui.gov.cn/art/2023/8/22/art_1229662157_225601.html,房屋建筑工程,松阳,公开招标,1577120.0,0.0,1577120.0,5,2023/8/22
A3311011160012934,松阳县经济开发区配套设施项目（一期）-双创产业园二期,http://lssggzy.lishui.gov.cn/art/2023/8/22/art_1229662157_211738.html,房屋建筑工程,松阳,公开招标,93994832.0,6.5,87885167.92,163,2023/8/22
A3311011160013339,高溪九年一贯制学校新建工程工程总承包（EPC）,http://lssggzy.lishui.gov.cn/art/2023/8/22/art_1229661852_225746.html,房屋建筑,莲都,公开招标,0.0,0.0,0.0,11,2023/8/22
A3311011160013372,云和县公共文体设施补短板—云和县大剧院装饰装修设计采购施工（EPC）总承包,http://lssggzy.lishui.gov.cn/art/2023/8/21/art_1229661989_225332.html,市政,云和,公开招标,0.0,0.0,0.0,13,2023/8/21
A3311011160013429,青田县农村污水处理设施新建工程设计,http://lssggzy.lishui.gov.cn/art/2023/8/21/art_1229661956_225512.html,市政基础设施工程,青田,公开招标,0.0,0.0,0.0,6,2023/8/21
A3311011160013446,丽阳街与寿尔福路交叉口西南侧商住用房项目施工图设计,http://lssggzy.lishui.gov.cn/art/2023/8/21/art_1229661812_225494.html,房屋建筑,丽水,公开招标,0.0,0.0,0.0,6,2023/8/21
