序号,id,项目名称,网址,zbkzj,下浮率,kbjj,投标单位数量,city,province
1,A3311011160013203,松阳县静安园公墓4号地块及附属建设工程,http://lssggzy.lishui.gov.cn/art/2023/7/14/art_1229662157_219499.html,16229378,7.3,15044633.41,184,丽水市,安徽省
2,A3311011160013216,2023年G235新海线丽水市松阳县寨头岭隧道维修加固工程,http://lssggzy.lishui.gov.cn/art/2023/7/14/art_1229662157_218645.html,7305926.316,2,7159807.79,5,丽水市,安徽省
3,A3311011160013197,松阳县中医医院迁建工程-室外附属工程,http://lssggzy.lishui.gov.cn/art/2023/7/13/art_1229662157_219498.html,24570373.43,9.4,22260758.33,294,丽水市,安徽省
4,A3311011160013200,庆元县濛洲街道同源村三产融合产业园（农居点和村综合楼）项目,http://lssggzy.lishui.gov.cn/art/2023/7/11/art_1229662056_217087.html,5329089.003,4.7,5078621.82,31,丽水市,安徽省
5,A3311011160013195,浙江九龙山国家级自然保护区管护巡护及生态网络感知系统监测体系建设项目——巡护路网、林火防控（消防水池）、挡墙护坡防洪堤建设,http://lssggzy.lishui.gov.cn/art/2023/7/11/art_1229662124_219213.html,5516130.599,9.8,4975549.8,87,丽水市,安徽省
6,A3311011160013228,丽水市市区屋顶（第二批次）光伏项目,http://lssggzy.lishui.gov.cn/art/2023/7/11/art_1229661852_219307.html,16505971.99,9.7,14904892.71,6,丽水市,安徽省
7,A3311011160013191,丽水市区部分主次干道沥青路面和人行道修复工程（一期）项目,http://lssggzy.lishui.gov.cn/art/2023/7/7/art_1229661812_217058.html,18277137,6.1,17162231.64,147,丽水市,安徽省
8,A3311011160013190,遂昌县 2023 年老旧小区改造项目——官碧路沿线区块,http://lssggzy.lishui.gov.cn/art/2023/7/7/art_1229662124_217202.html,9193181.043,8,8457726.56,300,丽水市,安徽省
9,A3311011160013223,松阳县农产品冷链物流中心项目（一期）,http://lssggzy.lishui.gov.cn/art/2023/7/7/art_1229662157_217183.html,33697675.65,9.9,30361605.76,226,丽水市,安徽省
10,A3311011160013174,遂昌县公安局湖山警务中心项目,http://lssggzy.lishui.gov.cn/art/2023/7/6/art_1229662124_216681.html,12522875.7,5.2,11871686.16,131,丽水市,安徽省
11,A3311011160013199,青田县彭口-莲头农村公路提升改造工程,http://lssggzy.lishui.gov.cn/art/2023/7/6/art_1229661956_217047.html,4330312.857,2,4243706.6,31,丽水市,安徽省
12,A3311011160013181,丽水空港园区基础设施及配套项目南明路（南九路-规划二路）工程,http://lssggzy.lishui.gov.cn/art/2023/7/6/art_1229661812_216988.html,26102244,10.1,23465917.36,172,丽水市,安徽省
13,A3311011160013173,国网浙江丽水庆元县供电公司百山供电所建设项目,http://lssggzy.lishui.gov.cn/art/2023/7/5/art_1229662056_216948.html,6412018.55,6.9,5969589.27,42,丽水市,安徽省
14,A3311011160013026,遂昌县低丘缓坡开发东城龙板山区块一期工程临溪路（环二路-经二路）,http://lssggzy.lishui.gov.cn/art/2023/7/4/art_1229662124_216810.html,5889605.005,6.9,5483222.26,140,丽水市,安徽省
15,A3311011160013187,遂昌县省级林业保障性苗圃建设项目,http://lssggzy.lishui.gov.cn/art/2023/7/3/art_1229662124_216683.html,17139989.28,6.7,15991610,63,丽水市,安徽省
16,A3311011160013176,缙云县2023年普通省道路基路面养护工程,http://lssggzy.lishui.gov.cn/art/2023/7/3/art_1229662089_216641.html,13512849.43,2,13242592.44,3,丽水市,安徽省
17,A3311011160013169,缙云县壶镇新型城镇化工程—体育运动馆项目,http://lssggzy.lishui.gov.cn/art/2023/6/30/art_1229662089_216347.html,23524706.16,8.5,21525106.14,187,丽水市,安徽省
18,A3311011160013172,长江经济带丽水市龙石溪流域生态修复工程-排水管网改造（官山片区）,http://lssggzy.lishui.gov.cn/art/2023/6/28/art_1229661812_216239.html,17141622,9,15598876.02,243,丽水市,安徽省
19,A3311011160013167,缙云县壶镇新型城镇化工程-少年活动中心项目,http://lssggzy.lishui.gov.cn/art/2023/6/28/art_1229662089_216241.html,34952183.5,5.6,32994861.22,185,丽水市,安徽省
20,A3311011160013182,庆元县五都香菇小镇农产品营销综合体（一事一议）项目,http://lssggzy.lishui.gov.cn/art/2023/6/28/art_1229662056_216099.html,6555116.405,4.6,6253581.05,47,丽水市,安徽省
