id,项目名称,网址,项目类型,项目所在地,招标方式,zbkzj,下浮率,kbjj,投标单位数量,开标时间
A3311011160013386,遂昌县东城医院项目监理,http://lssggzy.lishui.gov.cn/art/2023/8/30/art_1229662124_227279.html,房屋建筑工程,遂昌,公开招标,3258566.0,0.0,3258566.0,3,2023/8/30
A3311011160013399,青田县瓯南街道南湾至黄山公路新建工程,http://lssggzy.lishui.gov.cn/art/2023/8/30/art_1229661956_227241.html,交通工程,青田,公开招标,10867113.220512822,2.5,10595435.39,83,2023/8/30
A3311011160013465,丽水市人民医院东城院区医疗科教综合楼（三期香樟公园工程）,http://lssggzy.lishui.gov.cn/art/2023/8/30/art_1229661812_227240.html,1基础设施,丽水,公开招标,6644648.995726496,6.4,6219391.46,183,2023/8/30
A3311011160013403,浙西南农产品高质量发展项目--松阳县共富农事服务中心项目（粮食烘干二期）,http://lssggzy.lishui.gov.cn/art/2023/8/29/art_1229662157_227000.html,农业工程,松阳,公开招标,7033706.002098637,4.7,6703121.82,112,2023/8/29
A3311011160013466,青田县温溪镇温溪新区市政道路配套新建工程—温中西路沙埠村段及富强路南段,http://lssggzy.lishui.gov.cn/art/2023/8/29/art_1229661956_227019.html,市政基础设施工程,青田,公开招标,0.0,0.0,0.0,12,2023/8/29
A3311011160013420,丽水南城石材市场支路提升改造工程,http://lssggzy.lishui.gov.cn/art/2023/8/29/art_1229661812_227070.html,1基础设施,丽水,公开招标,17891378.0,14.5,15297128.19,118,2023/8/29
A3311011160013418,青田县瓯南医疗综合服务中心新建工程监理,http://lssggzy.lishui.gov.cn/art/2023/8/29/art_1229661956_227009.html,房屋建筑工程,青田,公开招标,1175877.0,0.0,1175877.0,6,2023/8/29
A3311011160013415,缙云县体育设施补短板工程及市民广场地下停车场工程（EPC）总承包监理,http://lssggzy.lishui.gov.cn/art/2023/8/29/art_1229662089_227092.html,房屋建筑工程,缙云,公开招标,3608038.0,0.0,3608038.0,7,2023/8/29
A3311011160013447,云和县公共卫生服务能力提升项目—120急救指挥中心新建及医技楼改扩建工程,http://lssggzy.lishui.gov.cn/art/2023/8/28/art_1229661989_226742.html,房屋建筑工程,云和,公开招标,7571622.538631346,9.4,6859890.02,124,2023/8/28
A3311011160013456,青田县官坑源小流域综合治理提质增效项目,http://lssggzy.lishui.gov.cn/art/2023/8/28/art_1229661956_226839.html,水利工程,青田,公开招标,26003699.6,0.0,26003699.6,178,2023/8/28
