id,tenderid,项目编号,项目名称,开标网址,参数抽取网址,参数抽取类型,project_type,投标单位数量
138A4B4B-C0F5-4D02-AFE6-ADEE5C1AB646,fc1fbab7-9d22-4ab0-ab26-156759a5e8f0,A3301010060280122001231,杭新景(杭千)高速公路2023年声屏障增设工程,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=138A4B4B-C0F5-4D02-AFE6-ADEE5C1AB646&tenderID=fc1fbab7-9d22-4ab0-ab26-156759a5e8f0&ModuleID=486,,2,交通项目,4
B8E25272-E657-4589-ADDC-32CEF5F89408,DB7276AE-8A83-4C0C-BB0A-B26D0EA831F9,A3301100140507891001211,钱江经济开发区树东路以南公租房项目,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=B8E25272-E657-4589-ADDC-32CEF5F89408&tenderID=DB7276AE-8A83-4C0C-BB0A-B26D0EA831F9&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=B8E25272-E657-4589-ADDC-32CEF5F89408,1,施工项目,137
B963AD4B-1E16-40B5-9CA5-6FF053B3B5A9,BBF1CDD4-FE72-407A-9772-767BF67F0EE0,A3301300180507879001221,义蓬街道新益村农村生活污水处理设施提升改造项目,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=B963AD4B-1E16-40B5-9CA5-6FF053B3B5A9&tenderID=BBF1CDD4-FE72-407A-9772-767BF67F0EE0&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=B963AD4B-1E16-40B5-9CA5-6FF053B3B5A9,1,施工项目,1016
C1B97EA4-C702-4B70-ABDC-4A4ED0E01FCD,F4762DA4-5484-4CE3-8CBE-1D4F004A1EC9,A3301020070507713001211,四堡七堡单元JG1402-28地块36班中学工程,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=C1B97EA4-C702-4B70-ABDC-4A4ED0E01FCD&tenderID=F4762DA4-5484-4CE3-8CBE-1D4F004A1EC9&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=C1B97EA4-C702-4B70-ABDC-4A4ED0E01FCD,1,施工项目,251
FCD588B9-6751-4DD5-B41E-284FB54A33A5,4842E362-4E3A-4B2F-BF6A-C9BAEDA89329,A3301131280507711001211,杭政储出[2022]64号地块项目监理,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=FCD588B9-6751-4DD5-B41E-284FB54A33A5&tenderID=4842E362-4E3A-4B2F-BF6A-C9BAEDA89329&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=FCD588B9-6751-4DD5-B41E-284FB54A33A5,1,监理项目,73
B75B69AB-C2C9-48F4-A524-5EC7858042CB,DB0E41DD-EEAC-4B3D-88CE-124E59CA657E,A3301060110507808001221,西溪湿地生物多样性保护展示工程（二期）,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=B75B69AB-C2C9-48F4-A524-5EC7858042CB&tenderID=DB0E41DD-EEAC-4B3D-88CE-124E59CA657E&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=B75B69AB-C2C9-48F4-A524-5EC7858042CB,1,施工项目,834
D239E207-3EE0-4757-9445-D2958F0609D4,fd928536-1e19-4615-b629-9df796a4afc0,A3301820190280032001231,2023年道路交通安全隐患治理工程,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=D239E207-3EE0-4757-9445-D2958F0609D4&tenderID=fd928536-1e19-4615-b629-9df796a4afc0&ModuleID=486,,2,交通项目,9
794F6D40-181A-4F47-A361-9607775154EB,C599F9A4-DD5D-4D74-A179-2FF3A47AD7AF,A3301131280507909001211,临平区职高勘察,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=794F6D40-181A-4F47-A361-9607775154EB&tenderID=C599F9A4-DD5D-4D74-A179-2FF3A47AD7AF&ModuleID=486,,0,勘察设计,9
90CEFA8F-7B1D-47E1-BEC1-35BFEF67E66D,C7908C53-A2F6-46C5-979F-D1128B80FFE4,A3301100140507870001211,良渚文化中心项目涉地铁保护监测服务,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=90CEFA8F-7B1D-47E1-BEC1-35BFEF67E66D&tenderID=C7908C53-A2F6-46C5-979F-D1128B80FFE4&ModuleID=486,,0,勘察设计,10
D776630D-5E04-4A0B-852C-C98AF60556AB,6B3EEE0B-A407-4A70-949B-F46295E0F2C7,A3301020070507789001211,四堡七堡单元JG1402-28地块36班中学全过程工程咨询,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=D776630D-5E04-4A0B-852C-C98AF60556AB&tenderID=6B3EEE0B-A407-4A70-949B-F46295E0F2C7&ModuleID=486,,0,建设工程,8
